class,coverage,stride,accuracy,n_samples
Mixing,25,1,0.936842,95
MoppingFloor,25,1,0.626087,115
Nunchucks,25,1,0.242236,161
ParallelBars,25,1,0.781609,87
PizzaTossing,25,1,0.525424,59
PlayingCello,25,1,0.954248,153
PlayingDaf,25,1,0.981567,217
PlayingDhol,25,1,0.928328,293
PlayingFlute,25,1,0.981818,220
PlayingGuitar,25,1,1.0,211
PlayingPiano,25,1,1.0,112
PlayingSitar,25,1,0.815385,260
PlayingTabla,25,1,0.980519,154
PlayingViolin,25,1,0.957447,94
PoleVault,25,1,0.542254,142
PommelHorse,25,1,0.613043,230
PullUps,25,1,0.661538,65
Punch,25,1,0.947368,171
PushUps,25,1,0.97619,42
Rafting,25,1,0.708333,96
RockClimbingIndoor,25,1,0.979104,335
RopeClimbing,25,1,0.699029,103
Rowing,25,1,0.846154,234
SalsaSpin,25,1,0.37931,174
ShavingBeard,25,1,0.85641,195
Shotput,25,1,0.661017,59
SkateBoarding,25,1,0.804878,82
Skiing,25,1,0.550898,167
Skijet,25,1,0.807143,140
SkyDiving,25,1,0.86747,83
SoccerJuggling,25,1,0.647826,230
SoccerPenalty,25,1,0.982456,57
StillRings,25,1,0.73494,83
SumoWrestling,25,1,0.875,120
Surfing,25,1,1.0,114
Swing,25,1,0.726562,128
TableTennisShot,25,1,0.94,100
TaiChi,25,1,0.714286,84
TennisSwing,25,1,0.77551,98
ThrowDiscus,25,1,0.754386,57
TrampolineJumping,25,1,0.913669,139
Typing,25,1,0.993289,149
UnevenBars,25,1,0.546875,64
VolleyballSpiking,25,1,0.923077,52
WalkingWithDog,25,1,0.775194,129
WallPushups,25,1,0.807018,57
WritingOnBoard,25,1,1.0,105
YoYo,25,1,0.568807,109
ApplyEyeMakeup,50,1,0.976562,128
ApplyLipstick,50,1,0.955752,113
Archery,50,1,0.771429,105
BabyCrawling,50,1,0.982143,112
BalanceBeam,50,1,0.857143,63
BandMarching,50,1,0.480315,127
BaseballPitch,50,1,0.793103,58
Basketball,50,1,0.84375,64
BasketballDunk,50,1,1.0,33
BenchPress,50,1,1.0,89
Biking,50,1,0.883436,163
Billiards,50,1,1.0,232
BlowDryHair,50,1,0.535354,99
BlowingCandles,50,1,0.979592,49
BodyWeightSquats,50,1,0.380952,63
Bowling,50,1,0.965909,88
BoxingPunchingBag,50,1,0.728814,177
BoxingSpeedBag,50,1,0.630872,149
BreastStroke,50,1,0.942529,87
BrushingTeeth,50,1,0.318182,198
CleanAndJerk,50,1,0.889908,109
CliffDiving,50,1,0.826087,46
CricketBowling,50,1,0.447761,67
CricketShot,50,1,0.492958,71
CuttingInKitchen,50,1,1.0,102
Diving,50,1,0.992806,139
Drumming,50,1,0.957806,237
Fencing,50,1,0.986111,72
FieldHockeyPenalty,50,1,0.685714,70
FloorGymnastics,50,1,0.438202,89
FrisbeeCatch,50,1,0.625,48
FrontCrawl,50,1,0.338583,127
GolfSwing,50,1,0.990909,110
Haircut,50,1,0.645161,62
HammerThrow,50,1,0.671233,146
Hammering,50,1,0.672727,55
HandstandPushups,50,1,0.740741,54
HandstandWalking,50,1,0.516854,89
HeadMassage,50,1,0.873563,174
HighJump,50,1,0.040541,74
HorseRace,50,1,0.915254,118
HorseRiding,50,1,1.0,151
HulaHoop,50,1,0.964912,57
IceDancing,50,1,0.917073,205
JavelinThrow,50,1,0.574074,54
JugglingBalls,50,1,0.781421,183
JumpRope,50,1,0.74359,312
JumpingJack,50,1,0.846154,39
Kayaking,50,1,0.964912,114
Knitting,50,1,0.971014,138
LongJump,50,1,0.555556,72
Lunges,50,1,0.30625,160
MilitaryParade,50,1,1.0,62
Mixing,50,1,0.978947,95
MoppingFloor,50,1,0.678261,115
Nunchucks,50,1,0.298137,161
ParallelBars,50,1,0.827586,87
PizzaTossing,50,1,0.711864,59
PlayingCello,50,1,0.96732,153
PlayingDaf,50,1,0.976959,217
PlayingDhol,50,1,0.959044,293
PlayingFlute,50,1,0.986364,220
PlayingGuitar,50,1,1.0,211
PlayingPiano,50,1,0.964286,112
PlayingSitar,50,1,0.846154,260
PlayingTabla,50,1,0.974026,154
PlayingViolin,50,1,0.978723,94
PoleVault,50,1,0.605634,142
PommelHorse,50,1,0.704348,230
PullUps,50,1,0.8,65
Punch,50,1,0.953216,171
PushUps,50,1,0.97619,42
Rafting,50,1,0.708333,96
RockClimbingIndoor,50,1,0.970149,335
RopeClimbing,50,1,0.815534,103
Rowing,50,1,0.901709,234
SalsaSpin,50,1,0.522989,174
ShavingBeard,50,1,0.94359,195
Shotput,50,1,0.59322,59
SkateBoarding,50,1,0.829268,82
Skiing,50,1,0.580838,167
Skijet,50,1,0.842857,140
SkyDiving,50,1,0.903614,83
SoccerJuggling,50,1,0.752174,230
SoccerPenalty,50,1,1.0,57
StillRings,50,1,0.783133,83
SumoWrestling,50,1,0.908333,120
Surfing,50,1,0.982456,114
Swing,50,1,0.804688,128
TableTennisShot,50,1,0.95,100
TaiChi,50,1,0.761905,84
TennisSwing,50,1,0.816327,98
ThrowDiscus,50,1,0.842105,57
TrampolineJumping,50,1,0.964029,139
Typing,50,1,1.0,149
UnevenBars,50,1,0.671875,64
VolleyballSpiking,50,1,0.903846,52
WalkingWithDog,50,1,0.922481,129
WallPushups,50,1,0.894737,57
WritingOnBoard,50,1,1.0,105
YoYo,50,1,0.816514,109
ApplyEyeMakeup,75,1,0.945312,128
ApplyLipstick,75,1,0.964602,113
