class,coverage,stride,accuracy,n_samples
MilitaryParade,25,1,1.0,62
Mixing,25,1,0.863158,95
MoppingFloor,25,1,0.521739,115
Nunchucks,25,1,0.484472,161
ParallelBars,25,1,0.816092,87
PizzaTossing,25,1,0.610169,59
PlayingCello,25,1,0.915033,153
PlayingDaf,25,1,0.976959,217
PlayingDhol,25,1,0.955631,293
PlayingFlute,25,1,0.940909,220
PlayingGuitar,25,1,0.971564,211
PlayingPiano,25,1,0.991071,112
PlayingSitar,25,1,0.95,260
PlayingTabla,25,1,1.0,154
PlayingViolin,25,1,0.914894,94
PoleVault,25,1,0.577465,142
PommelHorse,25,1,0.878261,230
PullUps,25,1,0.8,65
Punch,25,1,0.959064,171
PushUps,25,1,0.904762,42
Rafting,25,1,0.697917,96
RockClimbingIndoor,25,1,0.949254,335
RopeClimbing,25,1,0.883495,103
Rowing,25,1,0.970085,234
SalsaSpin,25,1,0.683908,174
ShavingBeard,25,1,0.687179,195
Shotput,25,1,0.389831,59
SkateBoarding,25,1,0.768293,82
Skiing,25,1,0.730539,167
Skijet,25,1,0.985714,140
SkyDiving,25,1,0.939759,83
SoccerJuggling,25,1,0.547826,230
SoccerPenalty,25,1,0.929825,57
StillRings,25,1,0.927711,83
SumoWrestling,25,1,0.866667,120
Surfing,25,1,0.912281,114
Swing,25,1,0.757812,128
TableTennisShot,25,1,1.0,100
TaiChi,25,1,0.845238,84
TennisSwing,25,1,0.918367,98
ThrowDiscus,25,1,0.719298,57
TrampolineJumping,25,1,0.892086,139
Typing,25,1,0.986577,149
UnevenBars,25,1,0.90625,64
VolleyballSpiking,25,1,0.923077,52
WalkingWithDog,25,1,0.744186,129
WallPushups,25,1,0.807018,57
WritingOnBoard,25,1,1.0,105
YoYo,25,1,0.541284,109
ApplyEyeMakeup,50,1,0.929688,128
ApplyLipstick,50,1,0.902655,113
Archery,50,1,0.904762,105
BabyCrawling,50,1,0.955357,112
BalanceBeam,50,1,0.777778,63
BandMarching,50,1,0.692913,127
BaseballPitch,50,1,0.775862,58
Basketball,50,1,0.890625,64
BasketballDunk,50,1,1.0,33
BenchPress,50,1,1.0,89
Biking,50,1,0.932515,163
Billiards,50,1,0.978448,232
BlowDryHair,50,1,0.646465,99
BlowingCandles,50,1,0.959184,49
BodyWeightSquats,50,1,0.428571,63
Bowling,50,1,0.965909,88
BoxingPunchingBag,50,1,0.621469,177
BoxingSpeedBag,50,1,0.684564,149
BreastStroke,50,1,0.931034,87
BrushingTeeth,50,1,0.353535,198
CleanAndJerk,50,1,0.87156,109
CliffDiving,50,1,0.804348,46
CricketBowling,50,1,0.522388,67
CricketShot,50,1,0.521127,71
CuttingInKitchen,50,1,1.0,102
Diving,50,1,1.0,139
Drumming,50,1,0.978903,237
Fencing,50,1,0.958333,72
FieldHockeyPenalty,50,1,0.885714,70
FloorGymnastics,50,1,0.651685,89
FrisbeeCatch,50,1,0.833333,48
FrontCrawl,50,1,0.149606,127
GolfSwing,50,1,0.954545,110
Haircut,50,1,0.66129,62
HammerThrow,50,1,0.547945,146
Hammering,50,1,0.672727,55
HandstandPushups,50,1,0.851852,54
HandstandWalking,50,1,0.325843,89
HeadMassage,50,1,0.942529,174
HighJump,50,1,0.189189,74
HorseRace,50,1,0.872881,118
HorseRiding,50,1,0.97351,151
HulaHoop,50,1,0.929825,57
IceDancing,50,1,0.912195,205
JavelinThrow,50,1,0.777778,54
JugglingBalls,50,1,0.928962,183
JumpRope,50,1,0.791667,312
JumpingJack,50,1,0.974359,39
Kayaking,50,1,0.947368,114
Knitting,50,1,0.978261,138
LongJump,50,1,0.555556,72
Lunges,50,1,0.63125,160
MilitaryParade,50,1,1.0,62
Mixing,50,1,0.884211,95
MoppingFloor,50,1,0.721739,115
Nunchucks,50,1,0.590062,161
ParallelBars,50,1,0.850575,87
PizzaTossing,50,1,0.711864,59
PlayingCello,50,1,0.941176,153
PlayingDaf,50,1,0.986175,217
PlayingDhol,50,1,0.938567,293
PlayingFlute,50,1,0.968182,220
PlayingGuitar,50,1,0.985782,211
PlayingPiano,50,1,1.0,112
PlayingSitar,50,1,0.946154,260
PlayingTabla,50,1,0.993506,154
PlayingViolin,50,1,0.93617,94
PoleVault,50,1,0.683099,142
PommelHorse,50,1,0.917391,230
PullUps,50,1,0.753846,65
Punch,50,1,0.964912,171
PushUps,50,1,0.904762,42
Rafting,50,1,0.625,96
RockClimbingIndoor,50,1,0.913433,335
RopeClimbing,50,1,0.941748,103
Rowing,50,1,0.991453,234
SalsaSpin,50,1,0.850575,174
ShavingBeard,50,1,0.723077,195
Shotput,50,1,0.40678,59
SkateBoarding,50,1,0.878049,82
Skiing,50,1,0.742515,167
Skijet,50,1,0.992857,140
SkyDiving,50,1,0.963855,83
SoccerJuggling,50,1,0.669565,230
SoccerPenalty,50,1,0.842105,57
StillRings,50,1,0.843373,83
SumoWrestling,50,1,0.933333,120
Surfing,50,1,0.903509,114
Swing,50,1,0.804688,128
TableTennisShot,50,1,1.0,100
TaiChi,50,1,0.785714,84
TennisSwing,50,1,0.959184,98
ThrowDiscus,50,1,0.894737,57
TrampolineJumping,50,1,0.94964,139
Typing,50,1,0.993289,149
UnevenBars,50,1,0.921875,64
VolleyballSpiking,50,1,1.0,52
WalkingWithDog,50,1,0.782946,129
WallPushups,50,1,0.684211,57
WritingOnBoard,50,1,0.990476,105
YoYo,50,1,0.733945,109
ApplyEyeMakeup,75,1,0.953125,128
ApplyLipstick,75,1,0.876106,113
Archery,75,1,0.92381,105
BabyCrawling,75,1,0.973214,112
BalanceBeam,75,1,0.761905,63
BandMarching,75,1,0.685039,127
BaseballPitch,75,1,0.793103,58
Basketball,75,1,0.875,64
BasketballDunk,75,1,1.0,33
BenchPress,75,1,1.0,89
Biking,75,1,0.944785,163
Billiards,75,1,0.978448,232
BlowDryHair,75,1,0.707071,99
BlowingCandles,75,1,0.918367,49
