Coverage,N,Mean,Std,Min,Max,95% CI
10%,101,0.6783643861386138,0.2643791004618168,0.0,1.0,"[0.6268, 0.7299]"
25%,101,0.7685610693069308,0.2148607337939279,0.040541,1.0,"[0.7267, 0.8105]"
50%,101,0.8013057920792078,0.19649535587078473,0.121622,1.0,"[0.7630, 0.8396]"
75%,101,0.8209774356435643,0.18228409050465244,0.15748,1.0,"[0.7854, 0.8565]"
100%,101,0.8209774356435643,0.18228409050465244,0.15748,1.0,"[0.7854, 0.8565]"
