Coverage,N,Mean,Std,Min,Max,95% CI
10%,101,0.3890992621383763,0.3328665962000987,0.0,1.0,"[0.3242, 0.4540]"
25%,101,0.5955185850315856,0.29300947283066564,0.0134228187919463,1.0,"[0.5384, 0.6527]"
50%,101,0.7265678749240508,0.22140172946567666,0.1486486486486486,1.0,"[0.6834, 0.7697]"
75%,101,0.6660758030267826,0.24262985898856704,0.1006711409395973,1.0,"[0.6188, 0.7134]"
100%,101,0.7662005813979159,0.19824582530872967,0.1979166666666666,1.0,"[0.7275, 0.8049]"
