class,coverage,stride,accuracy,n_samples
JavelinThrow,25,1,0.5359116022099447,181
JugglingBalls,25,1,0.7861060329067642,547
JumpRope,25,1,0.6309623430962343,1195
JumpingJack,25,1,0.112781954887218,133
Kayaking,25,1,0.7716535433070866,508
Knitting,25,1,0.943355119825708,459
LongJump,25,1,0.5,288
Lunges,25,1,0.301707779886148,527
MilitaryParade,25,1,0.8790322580645161,248
Mixing,25,1,0.9809160305343512,262
MoppingFloor,25,1,0.5025,400
Nunchucks,25,1,0.6630630630630631,555
ParallelBars,25,1,0.7211895910780669,269
PizzaTossing,25,1,0.4684684684684684,222
PlayingCello,25,1,0.9792592592592592,675
PlayingDaf,25,1,0.926980198019802,808
PlayingDhol,25,1,0.986425339366516,884
PlayingFlute,25,1,0.974934036939314,758
PlayingGuitar,25,1,0.992462311557789,796
PlayingPiano,25,1,0.9785714285714284,420
PlayingSitar,25,1,0.9971590909090908,1056
PlayingTabla,25,1,0.9835466179159048,547
PlayingViolin,25,1,0.9335443037974684,316
PoleVault,25,1,0.633177570093458,428
PommelHorse,25,1,0.6556122448979592,784
PullUps,25,1,0.5669642857142857,224
Punch,25,1,0.9123222748815166,844
PushUps,25,1,0.7967479674796748,123
Rafting,25,1,0.5833333333333334,372
RockClimbingIndoor,25,1,0.9100580270793036,1034
RopeClimbing,25,1,0.5527065527065527,351
Rowing,25,1,0.7607142857142857,840
SalsaSpin,25,1,0.6303939962476548,533
ShavingBeard,25,1,0.8835403726708074,644
Shotput,25,1,0.8297872340425532,188
SkateBoarding,25,1,0.8613138686131386,274
Skiing,25,1,0.8049242424242424,528
Skijet,25,1,0.8110599078341014,434
SkyDiving,25,1,0.8489010989010989,364
SoccerJuggling,25,1,0.4975186104218362,806
SoccerPenalty,25,1,0.9894179894179894,189
StillRings,25,1,0.8156424581005587,358
SumoWrestling,25,1,0.9604938271604938,405
Surfing,25,1,0.8295964125560538,446
Swing,25,1,0.715,400
TableTennisShot,25,1,0.6987654320987654,405
TaiChi,25,1,0.8158730158730159,315
TennisSwing,25,1,0.5227272727272727,440
ThrowDiscus,25,1,0.3085106382978723,188
TrampolineJumping,25,1,0.5801354401805869,443
Typing,25,1,0.9877551020408164,490
UnevenBars,25,1,0.445692883895131,267
VolleyballSpiking,25,1,0.5518867924528302,212
WalkingWithDog,25,1,0.6937901498929336,467
WallPushups,25,1,0.9615384615384616,234
WritingOnBoard,25,1,0.9929078014184396,423
YoYo,25,1,0.6641414141414141,396
ApplyEyeMakeup,50,1,0.9491525423728814,413
ApplyLipstick,50,1,0.9736842105263158,342
Archery,50,1,0.9502487562189056,402
BabyCrawling,50,1,0.9732620320855616,374
BalanceBeam,50,1,0.7962085308056872,211
BandMarching,50,1,0.8539130434782609,575
